Generated Description,Reviewed Description,Code,Type,Split
,Display a pink circle with 50% transparency centered on the screen.,"from manim import *

class CreateCircle(Scene):
    def construct(self):
        circle = Circle()  # create a circle
        circle.set_fill(PINK, opacity=0.5)  # set the color and transparency
        self.play(Create(circle))  # show the circle on screen",Basic,train
,"Display a square using a custom class that overrides the default `FadeIn` animation. Instead of fading in, the square is drawn using the `Create` animation when the scene plays.","from manim import *

class MySquare(Square):
    @override_animation(FadeIn)
    def _fade_in_override(self, **kwargs):
        return Create(self, **kwargs)

class OverrideAnimationExample(Scene):
    def construct(self):
        self.play(FadeIn(MySquare()))",Basic,train
,"Display four colored dots in the corners of a square: blue at top-left, maroon at bottom-left, green at bottom-right, and yellow at top-right. Then animate each dot moving in succession to the position of the next: blue moves to maroon’s position, maroon to green’s, green to yellow’s, and yellow to blue’s original position.","from manim import *

class SuccessionExample(Scene):
    def construct(self):
        dot1 = Dot(point=LEFT * 2 + UP * 2, radius=0.16, color=BLUE)
        dot2 = Dot(point=LEFT * 2 + DOWN * 2, radius=0.16, color=MAROON)
        dot3 = Dot(point=RIGHT * 2 + DOWN * 2, radius=0.16, color=GREEN)
        dot4 = Dot(point=RIGHT * 2 + UP * 2, radius=0.16, color=YELLOW)
        self.add(dot1, dot2, dot3, dot4)

        self.play(Succession(
            dot1.animate.move_to(dot2),
            dot2.animate.move_to(dot3),
            dot3.animate.move_to(dot4),
            dot4.animate.move_to(dot1)
        ))",Intermediate,train
,"Display a dot positioned at the upper left. Then animate the text “FadeOut with shift or target_position and scale” disappearing in four parts: the first part fades out normally, the second fades out while shifting downward, the third fades out while moving toward the dot, and the fourth fades out while scaling down. Each part disappears with a delay between them.","from manim import *

class FadeInExample(Scene):
    def construct(self):
        dot = Dot(UP * 2 + LEFT)
        self.add(dot)
        tex = Tex(
            ""FadeOut with "", ""shift "", r"" or target\_position"", "" and scale""
        ).scale(1)
        animations = [
            FadeOut(tex[0]),
            FadeOut(tex[1], shift=DOWN),
            FadeOut(tex[2], target_position=dot),
            FadeOut(tex[3], scale=0.5),
        ]
        self.play(AnimationGroup(*animations, lag_ratio=0.5))",Basic,train
,"Display a mathematical formula centered on screen:  
$$\int_a^b f'(x)\, dx = f(b) - f(a)$$  
This represents the Fundamental Theorem of Calculus, showing the relationship between a function’s derivative and its definite integral.","from manim import *

class Formula(Scene):
    def construct(self):
        t = MathTex(r""\int_a^b f'(x) dx = f(b)- f(a)"")
        self.add(t)",Basic,train
,"Animate the creation of a 2×2 table with row and column labels and outer borders. The table appears gradually on screen, then remains visible during a brief pause.","from manim import *

class CreateTableExample(Scene):
    def construct(self):
        table = Table(
            [[""First"", ""Second""],
            [""Third"",""Fourth""]],
            row_labels=[Text(""R1""), Text(""R2"")],
            col_labels=[Text(""C1""), Text(""C2"")],
            include_outer_lines=True)
        self.play(table.create())
        self.wait()",Basic,train
,"Display a large blue square with red edges, featuring four smaller shapes cut out from it: a triangle in the lower right, a small square in the upper right, a pentagon in the lower left, and a hexagon in the upper left. The cutouts create transparent holes in the larger square, revealing the background.","from manim import *

class CutoutExample(Scene):
    def construct(self):
        s1 = Square().scale(2.5)
        s2 = Triangle().shift(DOWN + RIGHT).scale(0.5)
        s3 = Square().shift(UP + RIGHT).scale(0.5)
        s4 = RegularPolygon(5).shift(DOWN + LEFT).scale(0.5)
        s5 = RegularPolygon(6).shift(UP + LEFT).scale(0.5)
        c = Cutout(s1, s2, s3, s4, s5, fill_opacity=1, color=BLUE, stroke_color=RED)
        self.play(Write(c), run_time=4)
        self.wait()",Intermediate,train
,"Display a 3D scene with the camera angled slightly from above and to the side. Show three colored spheres: a small red sphere positioned to the right, a large green sphere placed in the lower-left area, and a large blue sphere located in the upper-left area. All spheres appear simultaneously and remain static in the scene.","from manim import *

class ExampleSphere(ThreeDScene):
    def construct(self):
        self.set_camera_orientation(phi=PI / 6, theta=PI / 6)
        sphere1 = Sphere(
            center=(3, 0, 0),
            radius=1,
            resolution=(20, 20),
            u_range=[0.001, PI - 0.001],
            v_range=[0, TAU]
        )
        sphere1.set_color(RED)
        self.add(sphere1)
        sphere2 = Sphere(center=(-1, -3, 0), radius=2, resolution=(18, 18))
        sphere2.set_color(GREEN)
        self.add(sphere2)
        sphere3 = Sphere(center=(-1, 2, 0), radius=2, resolution=(16, 16))
        sphere3.set_color(BLUE)
        self.add(sphere3)",Basic,train
,"Display the Manim logo banner animation:  
- First, the banner is drawn on screen.  
- Then, it expands in size.  
- After a brief pause, the banner is smoothly removed using an unwrite animation.","from manim import *

class DarkThemeBanner(Scene):
    def construct(self):
        banner = ManimBanner()
        self.play(banner.create())
        self.play(banner.expand())
        self.wait()
        self.play(Unwrite(banner))",Basic,train
,"Display a graph with four connected nodes in a default layout. After being created, each node animates to a new position forming a square: node 1 moves to the upper right, node 2 to the upper left, node 3 to the lower right, and node 4 to the lower left. The edges adjust accordingly to maintain the connections between the repositioned nodes.","from manim import *

class MovingVertices(Scene):
    def construct(self):
        vertices = [1, 2, 3, 4]
        edges = [(1, 2), (2, 3), (3, 4), (1, 3), (1, 4)]
        g = Graph(vertices, edges)
        self.play(Create(g))
        self.wait()
        self.play(g[1].animate.move_to([1, 1, 0]),
                  g[2].animate.move_to([-1, 1, 0]),
                  g[3].animate.move_to([1, -1, 0]),
                  g[4].animate.move_to([-1, -1, 0]))
        self.wait()",Intermediate,train
,"Display the word “Deleting” in purple text on the left side of the screen, with a grey cursor positioned at the start. Animate the text being erased character by character with the cursor moving along, then make the cursor blink twice.","from manim import *

class DeletingTextExample(Scene):
    def construct(self):
        text = Text(""Deleting"", color=PURPLE).scale(1.5).to_edge(LEFT)
        cursor = Rectangle(
            color = GREY_A,
            fill_color = GREY_A,
            fill_opacity = 1.0,
            height = 1.1,
            width = 0.5,
        ).move_to(text[0]) # Position the cursor

        self.play(UntypeWithCursor(text, cursor))
        self.play(Blink(cursor, blinks=2))",Basic,train
,"Display a 3D coordinate system and render a colorful surface defined by the equation \( z = 2\sin(x) + 2\cos(y) \). The surface spans from \(-3\) to \(3\) along both the x- and y-axes and is colored using a gradient from blue to red. The camera is angled to provide a clear view of the surface’s undulating, wave-like shape.","from manim import *

class PlotSurfaceExample(ThreeDScene):
    def construct(self):
        resolution_fa = 16
        self.set_camera_orientation(phi=75 * DEGREES, theta=-60 * DEGREES)
        axes = ThreeDAxes(x_range=(-3, 3, 1), y_range=(-3, 3, 1), z_range=(-5, 5, 1))
        def param_trig(u, v):
            x = u
            y = v
            z = 2 * np.sin(x) + 2 * np.cos(y)
            return z
        trig_plane = axes.plot_surface(
            param_trig,
            resolution=(resolution_fa, resolution_fa),
            u_range = (-3, 3),
            v_range = (-3, 3),
            colorscale = [BLUE, GREEN, YELLOW, ORANGE, RED],
            )
        self.add(axes, trig_plane)",Advanced,train
,"Display the text ""Hello World!"" at the center of the screen, then animate it scaling up to twice its original size while remaining anchored in place.","from manim import *

class ScaleInPlaceExample(Scene):
    def construct(self):
        self.play(ScaleInPlace(Text(""Hello World!""), 2))",Basic,train
,"Display a streamlines vector field where each line represents the flow of a custom vector function that subtly rotates and scales position vectors. The streamlines illustrate the continuous motion and direction of the field across the screen, without animation.","from manim import *

class BasicUsage(Scene):
    def construct(self):
        func = lambda pos: ((pos[0] * UR + pos[1] * LEFT) - pos) / 3
        self.add(StreamLines(func))",Basic,train
,"Display a multi-line mathematical derivation using the LaTeX align environment. The expression shows the function \( f(x) \) being simplified step by step: first as \( 3 + 2 + 1 \), then \( 5 + 1 \), and finally \( 6 \), with each step aligned at the equals sign.","from manim import *

class LaTeXAlignEnvironment(Scene):
    def construct(self):
        tex = MathTex(r'f(x) &= 3 + 2 + 1\\ &= 5 + 1 \\ &= 6', font_size=96)
        self.add(tex)",Basic,train
,"Display the text ""Hello World!"" at the center of the screen, then animate it shrinking rapidly into a single point at the center, creating a disappearing effect as if it's collapsing inward.","from manim import *

class ShrinkToCenterExample(Scene):
    def construct(self):
        self.play(ShrinkToCenter(Text(""Hello World!"")))",Basic,train
,"Display a solid red square at the center of the screen with four labeled dots placed around its corners:  
- A red-labeled dot with ""42"" at the upper left,  
- A green-labeled dot with ""a"" at the upper right,  
- A blue-labeled dot with ""ii"" at the lower left,  
- A default-labeled dot with ""3"" at the lower right.","from manim import *

class SeveralLabeledDots(Scene):
    def construct(self):
        sq = Square(fill_color=RED, fill_opacity=1)
        self.add(sq)
        dot1 = LabeledDot(Tex(""42"", color=RED))
        dot2 = LabeledDot(MathTex(""a"", color=GREEN))
        dot3 = LabeledDot(Text(""ii"", color=BLUE))
        dot4 = LabeledDot(""3"")
        dot1.next_to(sq, UL)
        dot2.next_to(sq, UR)
        dot3.next_to(sq, DL)
        dot4.next_to(sq, DR)
        self.add(dot1, dot2, dot3, dot4)",Basic,train
,"Display a solid red square on the left and a solid blue circle overlapping it from the top right. On the right side of the screen, show a green shape representing the exclusion—highlighting the non-overlapping regions of both the square and the circle, with the intersecting area removed.","from manim import *

class IntersectionExample(Scene):
    def construct(self):
        sq = Square(color=RED, fill_opacity=1)
        sq.move_to([-2, 0, 0])
        cr = Circle(color=BLUE, fill_opacity=1)
        cr.move_to([-1.3, 0.7, 0])
        un = Exclusion(sq, cr, color=GREEN, fill_opacity=1)
        un.move_to([1.5, 0.4, 0])
        self.add(sq, cr, un)",Basic,train
,"Display a complex plane with a dot initially positioned at the complex number \(-2 + 1i\). As the animation progresses, the dot moves smoothly to new positions based on updates to a complex value tracker:

1. Moves to \(3 + 2i\),
2. Rotates 90° counterclockwise by multiplying the value by \(i\),
3. Moves downward by subtracting \(2i\),
4. Finally, shifts again by dividing the current value by \(-2 + 3i\).

Each movement reflects the corresponding complex arithmetic operation visually on the plane.","from manim import *

class ComplexValueTrackerExample(Scene):
    def construct(self):
        tracker = ComplexValueTracker(-2+1j)
        dot = Dot().add_updater(
            lambda x: x.move_to(tracker.points)
        )

        self.add(NumberPlane(), dot)

        self.play(tracker.animate.set_value(3+2j))
        self.play(tracker.animate.set_value(tracker.get_value() * 1j))
        self.play(tracker.animate.set_value(tracker.get_value() - 2j))
        self.play(tracker.animate.set_value(tracker.get_value() / (-2 + 3j)))",Basic,train
,"Display a square at the center of the screen. First, the square is drawn. Then, it shifts to the right, doubles in size, rotates 90 degrees counterclockwise, and finally disappears.","from manim import *

class AnimateExample(Scene):
    def construct(self):
        s = Square()
        self.play(Create(s))
        self.play(s.animate.shift(RIGHT))
        self.play(s.animate.scale(2))
        self.play(s.animate.rotate(PI / 2))
        self.play(Uncreate(s))",Basic,train
,"Display three elbow-shaped connectors arranged horizontally:

1. The first is a standard elbow with default size and angle.
2. The second is a wider elbow with increased width.
3. The third is also wide but rotated to point diagonally downward to the left, showing a different angle.","from manim import *

class ElbowExample(Scene):
    def construct(self):
        elbow_1 = Elbow()
        elbow_2 = Elbow(width=2.0)
        elbow_3 = Elbow(width=2.0, angle=5*PI/4)

        elbow_group = Group(elbow_1, elbow_2, elbow_3).arrange(buff=1)
        self.add(elbow_group)",Basic,train
,"Display a semicircular arc centered on screen, starting from the right and sweeping counterclockwise to the left.","from manim import *

class ArcExample(Scene):
    def construct(self):
        self.add(Arc(angle=PI))",Basic,train
,Display a square at the center of the screen that continuously rotates clockwise at a rate of 90 degrees per second for two seconds.,"from manim import *

class DtUpdater(Scene):
    def construct(self):
        square = Square()

        #Let the square rotate 90° per second
        square.add_updater(lambda mobject, dt: mobject.rotate(dt*90*DEGREES))
        self.add(square)
        self.wait(2)",Basic,train
,"Display three sample space rectangles arranged horizontally:

- The first is a large, fully opaque rectangle with thick borders.
- The second is a medium-sized rectangle with thinner borders and semi-transparent fill.
- The third is a small, nearly transparent square divided vertically into three segments with proportions 37%, 13%, and 50%, filled with black, white, and gray respectively.

All shapes appear on screen simultaneously without animation.","from manim import *

class ExampleSampleSpace(Scene):
    def construct(self):
        poly1 = SampleSpace(stroke_width=15, fill_opacity=1)
        poly2 = SampleSpace(width=5, height=3, stroke_width=5, fill_opacity=0.5)
        poly3 = SampleSpace(width=2, height=2, stroke_width=5, fill_opacity=0.1)
        poly3.divide_vertically(p_list=np.array([0.37, 0.13, 0.5]), colors=[BLACK, WHITE, GRAY], vect=RIGHT)
        poly_group = VGroup(poly1, poly2, poly3).arrange()
        self.add(poly_group)",Intermediate,train
,"Display a square at the center of the screen. Four braces are added to one side of the square, each with a different sharpness value ranging from 0.1 to 1.0. Next to each brace, a label indicates its corresponding sharpness value. All braces and labels are then arranged vertically with slight spacing between them.","from manim import *

class BraceExample(Scene):
    def construct(self):
        s = Square()
        self.add(s)
        for i in np.linspace(0.1,1.0,4):
            br = Brace(s, sharpness=i)
            t = Text(f""sharpness= {i}"").next_to(br, RIGHT)
            self.add(t)
            self.add(br)
        VGroup(*self.mobjects).arrange(DOWN, buff=0.2)",Basic,train
,"Display a row of evenly spaced dots extending horizontally across the screen. Below it, a second row appears, which is a shuffled version of the first—containing the same dots but in a random order. Both rows are written onto the screen simultaneously.","from manim import *

class ShuffleSubmobjectsExample(Scene):
    def construct(self):
        s= VGroup(*[Dot().shift(i*0.1*RIGHT) for i in range(-20,20)])
        s2= s.copy()
        s2.shuffle_submobjects()
        s2.shift(DOWN)
        self.play(Write(s), Write(s2))",Basic,train
,"Display a red circle defined by three specific points: one to the left, one diagonally up-left, and one directly above. The three defining points are marked with black dots, and a coordinate grid (NumberPlane) is shown in the background.","from manim import *

class CircleFromPointsExample(Scene):
    def construct(self):
        circle = Circle.from_three_points(LEFT, LEFT + UP, UP * 2, color=RED)
        dots = VGroup(
            Dot(LEFT),
            Dot(LEFT + UP),
            Dot(UP * 2),
        )
        self.add(NumberPlane(), circle, dots)",Basic,train
,"Display a 2×2 table with row and column labels. Each label—both row and column—is colored differently using blue, green, yellow, and red, making them visually distinct from the table entries.","from manim import *

class GetLabelsExample(Scene):
    def construct(self):
        table = Table(
            [[""First"", ""Second""],
            [""Third"",""Fourth""]],
            row_labels=[Text(""R1""), Text(""R2"")],
            col_labels=[Text(""C1""), Text(""C2"")])
        lab = table.get_labels()
        colors = [BLUE, GREEN, YELLOW, RED]
        for k in range(len(colors)):
            lab[k].set_color(colors[k])
        self.add(table)",Basic,train
,"Display a row of six shapes arranged horizontally: a square, a circle, a triangle, and three dots. These shapes are added to a `VGroup` using a mix of individual objects, a list, and a generator expression, demonstrating that various iterable types can be combined into a single group.","from manim import *

class AddIterableToVGroupExample(Scene):
    def construct(self):
        v = VGroup(
            Square(),               # Singular VMobject instance
            [Circle(), Triangle()], # List of VMobject instances
            Dot(),
            (Dot() for _ in range(2)), # Iterable that generates VMobjects
        )
        v.arrange()
        self.add(v)",Basic,train
,"Display a grayscale image created from a 2×4 pixel array, where each pixel's brightness corresponds to its value. The image is scaled to a height of 7 units and shown centered on the screen.","from manim import *

class ImageFromArray(Scene):
    def construct(self):
        image = ImageMobject(np.uint8([[0, 100, 30, 200],
                                       [255, 0, 5, 33]]))
        image.height = 7
        self.add(image)",Basic,train
,"Display a complex labeled polygram composed of three nested polygonal rings:  
- A large outer ring with 20 connected points forming an irregular shape,  
- A medium inner ring forming a closed loop with 8 points,  
- A small triangular ring with 3 points.  

The polygram is labeled “Pole” in sans-serif font, and a white circle is drawn around it, centered at the polygram’s pole. The outer polygon is semi-transparent, while the two inner shapes are filled solid black.","from manim import *

class LabeledPolygramExample(Scene):
    def construct(self):
        # Define Rings
        ring1 = [
            [-3.8, -2.4, 0], [-2.4, -2.5, 0], [-1.3, -1.6, 0], [-0.2, -1.7, 0],
            [1.7, -2.5, 0], [2.9, -2.6, 0], [3.5, -1.5, 0], [4.9, -1.4, 0],
            [4.5, 0.2, 0], [4.7, 1.6, 0], [3.5, 2.4, 0], [1.1, 2.5, 0],
            [-0.1, 0.9, 0], [-1.2, 0.5, 0], [-1.6, 0.7, 0], [-1.4, 1.9, 0],
            [-2.6, 2.6, 0], [-4.4, 1.2, 0], [-4.9, -0.8, 0], [-3.8, -2.4, 0]
        ]
        ring2 = [
            [0.2, -1.2, 0], [0.9, -1.2, 0], [1.4, -2.0, 0], [2.1, -1.6, 0],
            [2.2, -0.5, 0], [1.4, 0.0, 0], [0.4, -0.2, 0], [0.2, -1.2, 0]
        ]
        ring3 = [[-2.7, 1.4, 0], [-2.3, 1.7, 0], [-2.8, 1.9, 0], [-2.7, 1.4, 0]]

        # Create Polygons (for reference)
        p1 = Polygon(*ring1, fill_opacity=0.75)
        p2 = Polygon(*ring2, fill_color=BLACK, fill_opacity=1)
        p3 = Polygon(*ring3, fill_color=BLACK, fill_opacity=1)

        # Create Labeled Polygram
        polygram = LabeledPolygram(
            *[ring1, ring2, ring3],
            label=Text('Pole', font='sans-serif'),
            precision=0.01,
        )

        # Display Circle (for reference)
        circle = Circle(radius=polygram.radius, color=WHITE).move_to(polygram.pole)

        self.add(p1, p2, p3)
        self.add(polygram)
        self.add(circle)",Intermediate,train
,"Display three regular polygons arranged horizontally and scaled up:

1. A standard hexagon.
2. A green hexagon rotated by 30 degrees.
3. A red decagon (10-sided polygon).

Each shape is evenly spaced from the others.","from manim import *

class RegularPolygonExample(Scene):
    def construct(self):
        poly_1 = RegularPolygon(n=6)
        poly_2 = RegularPolygon(n=6, start_angle=30*DEGREES, color=GREEN)
        poly_3 = RegularPolygon(n=10, color=RED)

        poly_group = Group(poly_1, poly_2, poly_3).scale(1.5).arrange(buff=1)
        self.add(poly_group)",Basic,train
,"Display two rounded rectangles arranged horizontally:

1. A standard-sized rectangle with mildly rounded corners.
2. A larger square-shaped rectangle with more prominently rounded corners, giving it a softer, more circular appearance.","from manim import *

class RoundedRectangleExample(Scene):
    def construct(self):
        rect_1 = RoundedRectangle(corner_radius=0.5)
        rect_2 = RoundedRectangle(corner_radius=1.5, height=4.0, width=4.0)

        rect_group = Group(rect_1, rect_2).arrange(buff=1)
        self.add(rect_group)",Basic,train
,"Display the phrase ""Hello \LaTeX"" in large blue text, with the LaTeX logo rendered using LaTeX typesetting.","from manim import *

class LaTeXAttributes(Scene):
    def construct(self):
        tex = Tex(r'Hello \LaTeX', color=BLUE, font_size=144)
        self.add(tex)",Basic,train
,"Display a 3×3 grid of point cloud dots, each created with the same density and radius but progressively thinned out from left to right and top to bottom. As the scale factor increases, more points are removed from each dot, making them appear increasingly sparse across the grid.","from manim import *

class PMobjectExample(Scene):
    def construct(self):

        pG = PGroup()  # This is just a collection of PMobject's

        # As the scale factor increases, the number of points
        # removed increases.
        for sf in range(1, 9 + 1):
            p = PointCloudDot(density=20, radius=1).thin_out(sf)
            # PointCloudDot is a type of PMobject
            # and can therefore be added to a PGroup
            pG.add(p)

        # This organizes all the shapes in a grid.
        pG.arrange_in_grid()

        self.add(pG)",Basic,train
,"Display a 3D cone oriented diagonally in space, pointing in the direction of the vector (1, 1, 2). The cone is placed within a 3D coordinate system defined by axes. The camera is set at a vertical angle of \( \frac{5\pi}{11} \) and a horizontal angle of \( \frac{\pi}{9} \), providing a tilted and dynamic view of the cone's shape and orientation.","from manim import *

class ExampleCone(ThreeDScene):
    def construct(self):
        axes = ThreeDAxes()
        cone = Cone(direction=X_AXIS+Y_AXIS+2*Z_AXIS, resolution=8)
        self.set_camera_orientation(phi=5*PI/11, theta=PI/9)
        self.add(axes, cone)",Basic,train
,"Display the equation “x² + y² = z²” at the center of the screen. After a short pause, the variables are replaced with “a² + b² = c²” using a smooth transformation that matches corresponding parts. Then, the equation rearranges into “a² = c² - b²,” again transforming matching components to visually demonstrate the algebraic manipulation.","from manim import *

class MatchingEquationParts(Scene):
    def construct(self):
        variables = VGroup(MathTex(""a""), MathTex(""b""), MathTex(""c"")).arrange_submobjects().shift(UP)

        eq1 = MathTex(""{{x}}^2"", ""+"", ""{{y}}^2"", ""="", ""{{z}}^2"")
        eq2 = MathTex(""{{a}}^2"", ""+"", ""{{b}}^2"", ""="", ""{{c}}^2"")
        eq3 = MathTex(""{{a}}^2"", ""="", ""{{c}}^2"", ""-"", ""{{b}}^2"")

        self.add(eq1)
        self.wait(0.5)
        self.play(TransformMatchingTex(Group(eq1, variables), eq2))
        self.wait(0.5)
        self.play(TransformMatchingTex(eq2, eq3))
        self.wait(0.5)",Intermediate,train
,"Display a 3D coordinate system with labeled axes. The x-axis is labeled “x-axis” in slightly larger text, while the y-axis and z-axis are labeled “y-axis” and “z-axis” in smaller text. The camera is angled to provide a clear 3D perspective, allowing all three axes and their labels to be easily visible.","from manim import *

class GetAxisLabelsExample(ThreeDScene):
    def construct(self):
        self.set_camera_orientation(phi=2*PI/5, theta=PI/5)
        axes = ThreeDAxes()
        labels = axes.get_axis_labels(
            Text(""x-axis"").scale(0.7), Text(""y-axis"").scale(0.45), Text(""z-axis"").scale(0.45)
        )
        self.add(axes, labels)",Basic,train
,"Display four squares arranged in a row. Animate each square growing outward from a different edge: the first from the bottom, the second from the right, the third from the upper right corner, and the fourth from the top with its starting edge highlighted in red.","from manim import *

class GrowFromEdgeExample(Scene):
    def construct(self):
        squares = [Square() for _ in range(4)]
        VGroup(*squares).set_x(0).arrange(buff=1)
        self.play(GrowFromEdge(squares[0], DOWN))
        self.play(GrowFromEdge(squares[1], RIGHT))
        self.play(GrowFromEdge(squares[2], UR))
        self.play(GrowFromEdge(squares[3], UP, point_color=RED))",Basic,train
,Display a mathematical expression representing the Taylor series expansion of \( e^x \). All instances of the variable \( x \) are correctly isolated and colored yellow using LaTeX substring isolation.,"from manim import *

class CorrectLaTeXSubstringColoring(Scene):
    def construct(self):
        equation = MathTex(
            r""e^x = x^0 + x^1 + \frac{1}{2} x^2 + \frac{1}{6} x^3 + \cdots + \frac{1}{n!} x^n + \cdots"",
            substrings_to_isolate=""x""
        )
        equation.set_color_by_tex(""x"", YELLOW)
        self.add(equation)",Basic,train
"Display a 2×2 table with row and column labels. The first row’s text is colored red, the second row’s text is colored blue, and all labels are colored green, creating a clear visual distinction between rows and labels.","Display a 2×2 table with row and column labels. The column heading text is colored red-blue gradient, the first row’s text is colored gree, and all other labels are coloured white, creating a clear visual distinction between rows and labels.","from manim import *

class SetRowColorsExample(Scene):
    def construct(self):
        table = Table(
            [[""First"", ""Second""],
            [""Third"",""Fourth""]],
            row_labels=[Text(""R1""), Text(""R2"")],
            col_labels=[Text(""C1""), Text(""C2"")]
        ).set_row_colors([RED,BLUE], GREEN)
        self.add(table)",Basic,train
,"Display a fully opaque circle with a sheen effect applied. The sheen has a subtle reflective highlight that appears to come from the down-right (bottom-right) direction, giving the circle a slightly glossy, three-dimensional appearance.","from manim import *

class SetSheen(Scene):
    def construct(self):
        circle = Circle(fill_opacity=1).set_sheen(-0.3, DR)
        self.add(circle)",Basic,train
,"Display a line of Arabic text with each character or diacritic styled in different colors: the first character ""ا"" in purple, followed by red, blue, and green diacritics and letters forming the word ""العربية"" with colorful emphasis on pronunciation marks. The entire text is centered on the screen.","from manim import *

class MarkupElaborateExample(Scene):
    def construct(self):
        text = MarkupText(
            '<span foreground=""purple"">ا</span><span foreground=""red"">َ</span>'
            'ل<span foreground=""blue"">ْ</span>ع<span foreground=""red"">َ</span>ر'
            '<span foreground=""red"">َ</span>ب<span foreground=""red"">ِ</span>ي'
            '<span foreground=""green"">ّ</span><span foreground=""red"">َ</span>ة'
            '<span foreground=""blue"">ُ</span>'
        )
        self.add(text)",Intermediate,train
,"Display two vertical groups of numbers side by side: on the left, the numbers 1, 2, and 3 with a red label ""ReplacementTransform""; on the right, the numbers 4, 5, and 6 with a blue label ""Transform"".

In the left group, each number transforms into the next using `ReplacementTransform`, meaning the previous number is completely replaced and disappears during the transition.

In the right group, each number transforms into the next using `Transform`, so the previous number remains visible during the transition, resulting in overlapping numbers as the animation progresses.","from manim import *

class ReplacementTransformOrTransform(Scene):
    def construct(self):
        # set up the numbers
        r_transform = VGroup(*[Integer(i) for i in range(1,4)])
        text_1 = Text(""ReplacementTransform"", color=RED)
        r_transform.add(text_1)

        transform = VGroup(*[Integer(i) for i in range(4,7)])
        text_2 = Text(""Transform"", color=BLUE)
        transform.add(text_2)

        ints = VGroup(r_transform, transform)
        texts = VGroup(text_1, text_2).scale(0.75)
        r_transform.arrange(direction=UP, buff=1)
        transform.arrange(direction=UP, buff=1)

        ints.arrange(buff=2)
        self.add(ints, texts)

        # The mobs replace each other and none are left behind
        self.play(ReplacementTransform(r_transform[0], r_transform[1]))
        self.play(ReplacementTransform(r_transform[1], r_transform[2]))

        # The mobs linger after the Transform()
        self.play(Transform(transform[0], transform[1]))
        self.play(Transform(transform[1], transform[2]))
        self.wait()",Intermediate,train
,"Display a 2×2 integer matrix:  
\[
\left(
\begin{array}{cc}
3.7 & 2 \\
42.2 & 12 \\
\end{array}
\right)
\]  
Although the matrix is created using `IntegerMatrix`, it includes decimal values like 3.7 and 42.2. The matrix is enclosed in parentheses and appears on screen without animation.","from manim import *

class IntegerMatrixExample(Scene):
    def construct(self):
        m0 = IntegerMatrix(
            [[3.7, 2], [42.2, 12]],
            left_bracket=""("",
            right_bracket="")"")
        self.add(m0)",Basic,train
,"Display two squares arranged vertically. Animate the first square growing outward from its center. Then animate the second square growing from its center as well, with its center point highlighted in red.","from manim import *

class GrowFromCenterExample(Scene):
    def construct(self):
        squares = [Square() for _ in range(2)]
        VGroup(*squares).set_x(0).arrange(buff=2)
        self.play(GrowFromCenter(squares[0]))
        self.play(GrowFromCenter(squares[1], point_color=RED))",Basic,train
,"Display the word “Blinking” in medium-large text on the screen, then animate it blinking three times by briefly disappearing and reappearing.","from manim import *

class BlinkingExample(Scene):
    def construct(self):
        text = Text(""Blinking"").scale(1.5)
        self.add(text)
        self.play(Blink(text, blinks=3))",Basic,train
,"Display three five-pointed stars arranged horizontally:

1. The first is a standard star with sharp corners.
2. The second is a copy of the first with slightly rounded corners.
3. The third is another copy with more prominently rounded corners, showing a smoother, softer star shape.","from manim import *

class PolygramRoundCorners(Scene):
    def construct(self):
        star = Star(outer_radius=2)

        shapes = VGroup(star)
        shapes.add(star.copy().round_corners(radius=0.1))
        shapes.add(star.copy().round_corners(radius=0.25))

        shapes.arrange(RIGHT)
        self.add(shapes)",Basic,train
,"Display a 3D coordinate system with two lines:

1. A red line extending from the point (2, 0, 0) to the point (0, 1, 1), angled diagonally through space.
2. A yellow line that is parallel to the red line, automatically generated to match its direction.

The camera is set at a vertical angle of \( \frac{\pi}{3} \) and a horizontal angle of \( -\frac{\pi}{4} \), providing a tilted view that clearly shows the parallel orientation of the two lines in 3D space.","from manim import *

class ParallelLineExample(ThreeDScene):
    def construct(self):
        self.set_camera_orientation(PI / 3, -PI / 4)
        ax = ThreeDAxes((-5, 5), (-5, 5), (-5, 5), 10, 10, 10)
        line1 = Line3D(RIGHT * 2, UP + OUT, color=RED)
        line2 = Line3D.parallel_to(line1, color=YELLOW)
        self.add(ax, line1, line2)",Basic,train
,"Display a diagonal arrow pointing from the bottom left to the upper right of the screen, labeled “0.5” at its midpoint.","from manim import *

class LabeledArrowExample(Scene):
    def construct(self):
        l_arrow = LabeledArrow(""0.5"", start=LEFT*3, end=RIGHT*3 + UP*2, label_position=0.5)

        self.add(l_arrow)",Basic,train
